epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,467.183,0.5136,1.88414,0.1743,0.74134,0.59474,0.67294,0.40895,0.41788,0.44329,0.13822,0.000475063,0.000475063,0.000475063
2,916.773,0.4041,0.47372,0.12162,0.77352,0.66457,0.72586,0.44688,0.37663,0.43387,0.12187,0.000857208,0.000857208,0.000857208
3,1366.25,0.37553,0.45498,0.10992,0.74563,0.6762,0.72472,0.4648,0.34145,0.43611,0.10889,0.00114504,0.00114504,0.00114504
4,1810.53,0.36252,0.4403,0.10562,0.8279,0.71498,0.79436,0.5098,0.3252,0.41481,0.10389,0.00100459,0.00100459,0.00100459
5,2255.18,0.33835,0.42154,0.09723,0.83086,0.7589,0.82334,0.53908,0.32248,0.40738,0.10063,0.000863116,0.000863116,0.000863116
6,2699.08,0.33372,0.4164,0.09422,0.86711,0.76299,0.83829,0.5506,0.3059,0.39588,0.09475,0.000721645,0.000721645,0.000721645
7,3142.92,0.31492,0.40205,0.08955,0.85496,0.78535,0.8583,0.57145,0.2945,0.38577,0.09012,0.000580174,0.000580174,0.000580174
8,3586.83,0.30517,0.38885,0.08494,0.88011,0.80015,0.86801,0.58924,0.28448,0.36831,0.08768,0.000438703,0.000438703,0.000438703
9,4032.12,0.28407,0.37112,0.07805,0.8806,0.79998,0.87812,0.60838,0.27228,0.36573,0.08293,0.000297232,0.000297232,0.000297232
10,4475.55,0.27429,0.3592,0.07482,0.87927,0.82585,0.89625,0.62524,0.26096,0.35146,0.07828,0.000155761,0.000155761,0.000155761
