epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1706.06,0.43056,1.29471,0.14489,0.80276,0.68689,0.74443,0.45023,0.36165,0.45641,0.12103,0.000476015,0.000476015,0.000476015
2,3392.99,0.3481,0.45689,0.10979,0.83216,0.69206,0.79606,0.51028,0.34056,0.4252,0.11142,0.000858066,0.000858066,0.000858066
3,5068.26,0.33646,0.45195,0.1035,0.85626,0.73574,0.82262,0.54143,0.31581,0.41699,0.10399,0.0011458,0.0011458,0.0011458
4,6744,0.31094,0.41935,0.09263,0.85694,0.80063,0.8672,0.57899,0.29329,0.38678,0.09441,0.00100459,0.00100459,0.00100459
5,8426.87,0.29773,0.40717,0.08952,0.88059,0.79708,0.8732,0.58416,0.28913,0.38939,0.093,0.000863116,0.000863116,0.000863116
6,10111.8,0.28521,0.39032,0.08571,0.87443,0.80872,0.87267,0.5922,0.28606,0.38004,0.0906,0.000721645,0.000721645,0.000721645
7,11792.8,0.2835,0.38916,0.08431,0.87366,0.80491,0.87379,0.59608,0.27723,0.3774,0.08694,0.000580174,0.000580174,0.000580174
8,13474,0.2696,0.37297,0.07922,0.89538,0.83385,0.893,0.62266,0.26288,0.36004,0.08201,0.000438703,0.000438703,0.000438703
9,15154.7,0.25506,0.35622,0.07353,0.8865,0.84843,0.89815,0.62918,0.25653,0.35078,0.07849,0.000297232,0.000297232,0.000297232
10,16835.3,0.24222,0.3422,0.0694,0.89486,0.85448,0.90382,0.64254,0.24862,0.34656,0.07559,0.000155761,0.000155761,0.000155761
