epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.855,1.61088,4.1433,1.0859,0.90447,0.04219,0.14852,0.08947,1.40956,3.54696,1.0103,0.000471266,0.000471266,0.000471266
2,219.232,1.54622,2.50066,1.08082,0.45927,0.41924,0.39811,0.22329,1.48857,1.66125,1.10187,0.000853787,0.000853787,0.000853787
3,304.147,1.55929,1.63767,1.10048,0.41524,0.36072,0.34185,0.18947,1.63628,1.60173,1.20907,0.00114199,0.00114199,0.00114199
4,388.305,1.53892,1.31242,1.09449,0.52099,0.42048,0.43054,0.23205,1.59757,1.35966,1.18893,0.00100459,0.00100459,0.00100459
5,472.52,1.47227,1.15807,1.06764,0.54937,0.45985,0.48421,0.27667,1.45947,1.15965,1.11808,0.000863116,0.000863116,0.000863116
6,555.926,1.40498,1.08205,1.04565,0.6022,0.46654,0.52687,0.31675,1.38423,1.0776,1.07078,0.000721645,0.000721645,0.000721645
7,640.393,1.35898,1.00564,1.02412,0.63949,0.51905,0.56471,0.33879,1.37089,1.02273,1.07195,0.000580174,0.000580174,0.000580174
8,724.124,1.29856,0.94052,0.99903,0.6666,0.52269,0.57548,0.35524,1.28338,1.00965,1.03407,0.000438703,0.000438703,0.000438703
9,807.356,1.25135,0.8872,0.98664,0.68435,0.52491,0.59135,0.37104,1.28689,1.07798,1.0356,0.000297232,0.000297232,0.000297232
10,891.028,1.21397,0.86093,0.97751,0.67972,0.51673,0.58892,0.37644,1.28014,1.09917,1.02924,0.000155761,0.000155761,0.000155761
